antecedent_ids,antecedent_names,consequent_ids,consequent_names,support,confidence,lift,LHS,RHS
20464,Salted Almonds & Milk Chocolate 41% Cacao,10585,Spinach & Roasted Garlic Crackers,0.0992,0.4913,4.9526,{20464},{10585}
"24144, 702","Constellation Tomatoes, Cheese Spread Port Wine","46524, 7307","Natural Peanut Butter Crunchy and Flaxseed, Sweet & Sour Chicken With Vegetables",0.4342,0.6459,1.4876,"{24144, 702}","{46524, 7307}"
"15770, 18523, 24724","Hot Dog Chili Sauce, Total 2% All Natural Greek Strained Yogurt with Honey, G Series Frost Rain Berry Flavor Sports Drink","13171, 2564","Organic Whole Grain Black Beans & Rice Rice & Seasoning Mix, 100% Tomato Juice",0.1034,0.8035,7.7708,"{15770, 18523, 24724}","{13171, 2564}"
13624,Leaf Cut Spinach,"3527, 941","Sorbet Pops Banana Coconut, Smoked Atlantic Nova Salmon",0.4459,0.5397,1.2104,{13624},"{3527, 941}"
8828,Fine Yolk Free Noodles,1926,2 In 1 Super Foam & Scrub Sponges,0.0986,0.4985,5.0558,{8828},{1926}
"23350, 37555, 4603","Chow Mein Seasoning Mix, Oatmeal Cranberry Place & Bake Cookie Dough, Organic Emerald Matcha Whole Leaf Tea","25625, 8353","Nonfat Yogurt, Organic Honey Bunch Grape Tomatoes",0.194,0.8759,4.5149,"{23350, 37555, 4603}","{25625, 8353}"
"16469, 27505","Broccoli Cheddar Quiche, Original Strawberry Gelatin",17373,Almond Butter Mini Bar,0.106,0.4279,4.0368,"{16469, 27505}",{17373}
"11788, 912, 9846","Pecan Nuts, Mushroom Stems & Pieces in Water, Simply Dressed Coleslaw Dressing",12428,Steam'ables Green Peas,0.4086,0.3592,0.8791,"{11788, 912, 9846}",{12428}
"12428, 42287","Steam'ables Green Peas, Organic Pumpkin Flax Granola","34415, 39098","Light Bologna & American Cracker Stackers Lunchhable, Complete Health Kitten Dry Food",0.0561,0.4956,8.8342,"{12428, 42287}","{34415, 39098}"
"2606, 33926, 37496","Mr. Goodbar Milk Chocolate with Peanuts Candy Bar, Adobo All Purpose Seasoning, Organic Deep Dark Sea Salt Chocolate","13718, 32165","Grape with Electrolytes & Vitamins Water Beverage, Orange Unsweetened Soft Drink Mix",0.1524,0.8193,5.376,"{2606, 33926, 37496}","{13718, 32165}"
10585,Spinach & Roasted Garlic Crackers,"18281, 48839","Popped Dark Chocolate with Sea Salt Granola Bar, Buffalo Chicken Slow Cooker Sauces",0.2366,0.9086,3.8402,{10585},"{18281, 48839}"
"18523, 29084, 34165","Total 2% All Natural Greek Strained Yogurt with Honey, Honey Mustard Nut-Thins Cracker, Fat Free Half & Half",34415,Light Bologna & American Cracker Stackers Lunchhable,0.3722,0.653,1.7544,"{18523, 29084, 34165}",{34415}
"36781, 5616","Poppy Thyme Crackers, Mexican Papaya","1924, 2643","Long Grain Rice, Organic Bagged Kale Salad Mix",0.4879,0.8675,1.778,"{36781, 5616}","{1924, 2643}"
"42979, 478","Four Star Collection Entertainment Crackers, Organic Pitted Kalamata Olives",9009,Fuji  Apples,0.0687,0.5217,7.5939,"{42979, 478}",{9009}
"22015, 23918, 24190","Thin Mint Crisp Oreos, Fragrance Free Pure Olive Oil Soap Bars, In Light Syrup & Passion Fruit Juice Tropical Fruit",25953,Guava Paste,0.1653,0.6927,4.1906,"{22015, 23918, 24190}",{25953}
4287,Organic Pure Blueberry Juice,6411,"Delights Honey Wheat Flatbread Turkey Sausage, Egg & Cheese",0.4429,0.9325,2.1054,{4287},{6411}
"36354, 4339","Bourbon Vanilla & Tangerine Hair Texturizer, Pure Camomile Herbal Tea Bags",3638,Organic Original Panko,0.3728,0.7048,1.8906,"{36354, 4339}",{3638}
"38218, 5087, 5533","Rising Crust Three Meat Pizza, 72% Dark Chocolate with Pistachios Almond & Walnuts, Washing Machine Cleaner",26367,Alcohol-Free Witch Hazel Rose Petal Toner,0.1557,0.5162,3.3154,"{38218, 5087, 5533}",{26367}
"14586, 26130, 38202","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Creamy Gorg Blue-Veined Cheese Soft, Original Lip Balm",7996,Grenache Varietal Red Wine Vinegar,0.3056,0.512,1.6754,"{14586, 26130, 38202}",{7996}
13193,Special Sauce,7402,Mandarin Mango Hand Soap,0.1619,0.6748,4.168,{13193},{7402}
"47081, 48448, 7996","Pink Himalayan Salt Mill, Dates, Grenache Varietal Red Wine Vinegar",13863,Amazing Meal Chocolate Infusion Single,0.3928,0.4566,1.1624,"{47081, 48448, 7996}",{13863}
"23513, 43145","Relaxing Lavender Mineral Bath, Pinto Beans with Jalapeno Peppers",2714,Handi-Snacks Ritz Crackers 'n Cheese Dip,0.2147,0.9379,4.3684,"{23513, 43145}",{2714}
41453,Eggo Buttermilk Pancakes,43717,18-in-1 Hemp Pure-Castile Soap Almond,0.2942,0.3296,1.1203,{41453},{43717}
6880,for Tots Apple White Grape Juice,"26367, 42593","Alcohol-Free Witch Hazel Rose Petal Toner, Classic Strawberry Serenity Kombucha",0.4161,0.9036,2.1716,{6880},"{26367, 42593}"
"31020, 37555, 43145","Organic Honey Grade A, Oatmeal Cranberry Place & Bake Cookie Dough, Pinto Beans with Jalapeno Peppers",42515,Nilla Wafers Reduced Fat,0.2505,0.6165,2.4611,"{31020, 37555, 43145}",{42515}
"21278, 44051, 44836","All Purpose Crushed Tomatoes, Zero Vitamin Water, Karia Chardonnay","12479, 47468","Regular Cardboard Applicator Unscented Tampons, Hot Enough Hummus",0.3938,0.435,1.1046,"{21278, 44051, 44836}","{12479, 47468}"
"24554, 36047","Bars, Slim, Raspberry Truffle, Vegan, Bars, Gluten Free, Box, Los Osos Merlot","19867, 2248","Sweet Corn & Carrot with Turkey + Sage Stage 3 Baby Food, Variety Pack Granola Bars",0.3493,0.7888,2.2582,"{24554, 36047}","{19867, 2248}"
24132,Pure Life Splash Wild Berry Flavored Water,17174,Coffee-Mate Star Wars Spiced Latte Coffee Creamer,0.0491,0.5336,10.8676,{24132},{17174}
"18694, 25080","Mandarin and Seville Orange Jigger, Ale, Not Quite Pale, No. 9",45814,Rose Foaming Face Wash,0.2985,0.6605,2.2127,"{18694, 25080}",{45814}
"43833, 8766","Organic Extra Thick Passata Rustica Puree, Delicious IPA","30295, 702","Pork & Beans, Cheese Spread Port Wine",0.3577,0.9348,2.6134,"{43833, 8766}","{30295, 702}"
"28375, 42350, 43281","Natural Cedar Scent Toilet Cleaner, Peanut Butter Cups Candy, Organic Lemon Perfume Oil","39938, 46257","7 Grain Waffles, Protein Bar, High, Cookies & Cream",0.286,0.9765,3.4143,"{28375, 42350, 43281}","{39938, 46257}"
"16727, 43281","Organic Bosc Pears, Organic Lemon Perfume Oil",16425,Organic Lowafat 1% Milk,0.4329,0.8733,2.0173,"{16727, 43281}",{16425}
"32265, 32566, 4379","ForceFlex Drawstring Tall Kitchen Bags, Dha Omega 3 Vitamin D Milk, Tandoori Chicken Samosa","27140, 4500","Green Tea Decaf Lotus Blossom Green Tea Bags, Chimichanga Chicken & Cheese",0.1063,0.7677,7.222,"{32265, 32566, 4379}","{27140, 4500}"
"12428, 13350, 20281","Steam'ables Green Peas, Vine Ripened Golden Berries, Scoops! Corn Snacks",38974,Chopped Kit Southwest Salad Greek Yogurt Jalapeno Ranch Dessing,0.2517,0.8334,3.3111,"{12428, 13350, 20281}",{38974}
"26554, 28886","Rigatoni With Chicken & Pesto, Organic Orange",45814,Rose Foaming Face Wash,0.2354,0.7016,2.9805,"{26554, 28886}",{45814}
"44051, 6049","Zero Vitamin Water, Wild Berry Organic Sparkling Energy Drink","16626, 36047","Brownie Moose Tracks Ice Cream, Los Osos Merlot",0.109,0.3439,3.155,"{44051, 6049}","{16626, 36047}"
29084,Honey Mustard Nut-Thins Cracker,"37785, 912","Peanut Satay Asian Cuisine, Mushroom Stems & Pieces in Water",0.2538,0.9329,3.6757,{29084},"{37785, 912}"
"17373, 2714, 37306","Almond Butter Mini Bar, Handi-Snacks Ritz Crackers 'n Cheese Dip, Take & Bake Multigrain Loaf","13278, 49218","Hand Soap, Refill Size, French Lavender, Dough For Turnover Pastries Para Empanadas",0.2046,0.6892,3.3685,"{17373, 2714, 37306}","{13278, 49218}"
23000,Professional Men's 3 In 1 Citrus Rush Shampoo + Conditioner + Bodywash,"1732, 43857","Organic Peach Pear Blueberry Apple Avocado, Traditional Chicken & Wild Rice Soup",0.3638,0.5105,1.4032,{23000},"{1732, 43857}"
"20281, 6039","Scoops! Corn Snacks, Chromium Picolinate - 500mcg",18694,Mandarin and Seville Orange Jigger,0.2715,0.8804,3.2427,"{20281, 6039}",{18694}
"22075, 40903","Silicone Baby 3-12 Months Toothbrush, 2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food","16059, 37777","Crab Delights Imitation Flake Style Crab Meat, Moroccan Infusion Color Care Shampoo",0.1179,0.514,4.3596,"{22075, 40903}","{16059, 37777}"
"13278, 2564, 39938","Hand Soap, Refill Size, French Lavender, 100% Tomato Juice, 7 Grain Waffles","27163, 6300","Spicy Nacho Tortilla Chips, Light & Lean Pasta & Veggie Bowl",0.235,0.9339,3.974,"{13278, 2564, 39938}","{27163, 6300}"
1672,English Cucumbers,45925,All Natural Turkey Burgers,0.012,0.6873,57.275,{1672},{45925}
45903,Sake,41999,Cut Tulips (Choose Color),0.4022,0.3865,0.961,{45903},{41999}
4339,Pure Camomile Herbal Tea Bags,37854,Berry Medley Oatmeal,0.0567,0.9443,16.6543,{4339},{37854}
"26367, 32566","Alcohol-Free Witch Hazel Rose Petal Toner, Dha Omega 3 Vitamin D Milk",4603,Organic Emerald Matcha Whole Leaf Tea,0.3708,0.8603,2.3201,"{26367, 32566}",{4603}
35388,Brooklyn Rye Oval,15804,Fuji Apple Juice,0.1881,0.8367,4.4482,{35388},{15804}
"12231, 18523","Orange Jel Dessert, Total 2% All Natural Greek Strained Yogurt with Honey","13959, 22897","Swiss Fudge Cookies, Chai Latte",0.2576,0.6415,2.4903,"{12231, 18523}","{13959, 22897}"
37555,Oatmeal Cranberry Place & Bake Cookie Dough,12440,California Lemonade,0.2267,0.7103,3.1332,{37555},{12440}
958,Almond Extract,"25931, 9217","Organic Baby Spinach Salad, Cold Brew Coffee With Coconut Milk",0.3458,0.3667,1.0604,{958},"{25931, 9217}"
20464,Salted Almonds & Milk Chocolate 41% Cacao,"4665, 6544","Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee, Garlic Rosemary Citrus Sauce",0.4857,0.8974,1.8476,{20464},"{4665, 6544}"
46664,Newtons 100% Whole Grain Blueberry Cookies,"27804, 47512","Spicy Kung Pao Noodle Bowl, Lite Energy Drink",0.3724,0.8505,2.2838,{46664},"{27804, 47512}"
14069,Vietnamese Brown Rice Spring Roll Wrappers,"29551, 2989","Creamy Carob Mousse Cheesecake, Sweet Marsala",0.3354,0.8538,2.5456,{14069},"{29551, 2989}"
"13350, 22027, 7160","Vine Ripened Golden Berries, Miso, Red, Clear Cups","14041, 43983","Whole Grain Seeded Dinner Roll, Zingers Raspberry Cakes",0.4172,0.915,2.1932,"{13350, 22027, 7160}","{14041, 43983}"
43847,Dory Blueberry Bubbles,"15913, 47081","Ranch Veggie Dip, Pink Himalayan Salt Mill",0.3142,0.5492,1.7479,{43847},"{15913, 47081}"
16626,Brownie Moose Tracks Ice Cream,48129,NUT-rition Men's Health Recommended Mix,0.104,0.8216,7.9,{16626},{48129}
"18613, 23333, 42287","Light Southwestern Style Vegetable Soup, Beef Ravioli in Tomato & Meat Sauce, Organic Pumpkin Flax Granola",376,Even & Bright Pink Lemon and Mandarin Orange Body Wash,0.4771,0.4824,1.0111,"{18613, 23333, 42287}",{376}
9903,Caramel Milk Chocolate Candy,"12785, 38564","Deluxe Original Cheddar Macaroni & Cheese Dinner, Euphoric Ylang Ylang Mineral Bath",0.3803,0.5311,1.3965,{9903},"{12785, 38564}"
605,Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender,29329,Surface Wipes Fresh Scent,0.2369,0.3428,1.447,{605},{29329}
36354,Bourbon Vanilla & Tangerine Hair Texturizer,"17268, 38644","Original Potato Chips Triple Pack, Organic Thai Basil",0.177,0.7828,4.4226,{36354},"{17268, 38644}"
"21391, 37854, 48015","Sardines In Soybean Oil, Berry Medley Oatmeal, Lime Slim Can",7771,Gluten Free Hazelnut Wafer Bites,0.3656,0.4575,1.2514,"{21391, 37854, 48015}",{7771}
"13350, 3573","Vine Ripened Golden Berries, Organic Green Sauerkraut",27784,Lemonade With Tea,0.2786,0.4774,1.7136,"{13350, 3573}",{27784}
"27505, 30254, 4379","Original Strawberry Gelatin, Wild Pink Salmon, No Salt Added, Tandoori Chicken Samosa",36781,Poppy Thyme Crackers,0.0747,0.9815,13.1392,"{27505, 30254, 4379}",{36781}
39938,7 Grain Waffles,7879,"American Cheese, Pre-Sliced",0.0712,0.9069,12.7374,{39938},{7879}
"20464, 29303, 48476","Salted Almonds & Milk Chocolate 41% Cacao, Pink Pearl Medium Rubber Eraser, Tender Chicken & Stars Stage 3","2562, 41303","Quick & Easy Steel Cut Irish Oatmeal, Almond Breeze Reduced Sugar Vanilla Almondmilk",0.0956,0.8947,9.3588,"{20464, 29303, 48476}","{2562, 41303}"
"30384, 5616","Dark Caffe Verona Whole Bean Coffee, Mexican Papaya",32223,For Baby Organic Baby Food Stage 2 Chicken With Chicken Gravy,0.4946,0.5471,1.1061,"{30384, 5616}",{32223}
"47190, 7671","Kosher Matzo Meal For Passover, Organic Yogurt Baby Food","15532, 27083","Classic Honey Peanut Butter Squeeze, Organic Coconut Aloe Water",0.2807,0.3743,1.3335,"{47190, 7671}","{15532, 27083}"
11325,Organic Hemp Plus Granola,"27688, 2989","Original Pops, Sweet Marsala",0.3079,0.9558,3.1043,{11325},"{27688, 2989}"
"32825, 39098","RediTabs Non Drowsy Indoor & Outdoor 24 Hour Allergy Tablets, Complete Health Kitten Dry Food",25931,Organic Baby Spinach Salad,0.3651,0.4963,1.3594,"{32825, 39098}",{25931}
"26206, 47020, 6255","Pickled Red Cabbage, Peanut Butter Pretzel Sandwiches, Multi-Grain Cheerios Dark Chocolate Crunch Cereal","1672, 37019","English Cucumbers, Dairy Free Gluten Free Cookie Dough Coconut Milk Frozen Dessert",0.4423,0.6832,1.5447,"{26206, 47020, 6255}","{1672, 37019}"
"32736, 34412","Humectress Conditioner, Big Bags with Double Zipper, XL","30258, 35795","Organic Peppermint Mints, Mexican Restaurant Style Corn Tortilla Chips",0.0233,0.9988,42.867,"{32736, 34412}","{30258, 35795}"
7402,Mandarin Mango Hand Soap,46069,Supergreens!,0.102,0.5531,5.4225,{7402},{46069}
"13817, 33632, 46153","\""Im Pei-nut Butter\"" Double Chocolate Cookie & Peanut Butter Ice Cream, Reduced Fat Pepper Jack  Cheese, Cherry Pie Filling",5172,Original Croccantini,0.0748,0.5678,7.5909,"{13817, 33632, 46153}",{5172}
"17813, 33632","Caraway Seed, Reduced Fat Pepper Jack  Cheese","17740, 42979","Tortillas, Flour, Four Star Collection Entertainment Crackers",0.0518,0.4942,9.5405,"{17813, 33632}","{17740, 42979}"
"4665, 478","Sweet & Creamy Regular Medium Roast Iced K-Cups Arabica Coffee, Organic Pitted Kalamata Olives","10739, 36675","Classic Decaf Instant Coffee Crystals, Kale Krunch, Organic, Southwest Ranch",0.2451,0.9652,3.938,"{4665, 478}","{10739, 36675}"
22896,Organic Triple G Choc Superfood Truffles,"1168, 12479","White Wine Winemaker's Blend California, 2010, Regular Cardboard Applicator Unscented Tampons",0.2749,0.6777,2.4653,{22896},"{1168, 12479}"
"14586, 30258, 7829","Fast Act Lactose Enzyme Vanilla Twist Flavor Supplement Chewable Tablets, Organic Peppermint Mints, Organic Protein Vanilla Smoothie","17427, 17813","Uncured Beef Franks, Caraway Seed",0.1829,0.321,1.7551,"{14586, 30258, 7829}","{17427, 17813}"
25493,Cookies 'n Cream with Oreo Cookie Pieces Lowfat Yogurt,"24974, 34035","Caramel Custard Yogurt, Hamburger Bun",0.3844,0.4852,1.2622,{25493},"{24974, 34035}"
"10739, 15255","Classic Decaf Instant Coffee Crystals, Fat Free Rich Milk Chocolate Hot Cocoa Mix",43717,18-in-1 Hemp Pure-Castile Soap Almond,0.2237,0.8154,3.6451,"{10739, 15255}",{43717}
"33376, 8766","Vanilla Wafer Cookies, Delicious IPA",38202,Original Lip Balm,0.028,0.5184,18.5143,"{33376, 8766}",{38202}
"12428, 27248, 5615","Steam'ables Green Peas, G-Series Rain Berry Thirst Quencher Sports Drink, White Miso Soup Mix","16698, 41601","Uncured Pepperoni & Uncured Bacon, All Profits To Charity Pineapple Salsa",0.3829,0.3814,0.9961,"{12428, 27248, 5615}","{16698, 41601}"
49218,Dough For Turnover Pastries Para Empanadas,41744,Organic Cacao Beans,0.1867,0.379,2.03,{49218},{41744}
"13286, 49121","Dairy Pure Fat Free Milk, Rainbow Carrots","32685, 42350","Chicken & Vegetable Snack Sticks for Dogs, Peanut Butter Cups Candy",0.2697,0.3189,1.1824,"{13286, 49121}","{32685, 42350}"
"18703, 7996, 8281","Pure Doctor Kombucha, Grenache Varietal Red Wine Vinegar, Head of Lettuce",765,Swaddlers Diapers Jumbo Pack Size Newborn,0.2223,0.5672,2.5515,"{18703, 7996, 8281}",{765}
"3092, 8766","Sour Cherry Sour Licorice Twists, Delicious IPA","4220, 5172","Hot & Spicy Tomato Ketchup, Original Croccantini",0.257,0.895,3.4825,"{3092, 8766}","{4220, 5172}"
"25625, 26508, 4517","Nonfat Yogurt, Dandruff Shampoo Plus Conditioner T/Gel® Daily Control, Sausage Pizza Rolls","35316, 3638","Shower Cleaner, Organic Original Panko",0.2725,0.4952,1.8172,"{25625, 26508, 4517}","{35316, 3638}"
"14410, 36354","Spicy Black Bean Veggie Burgers, Bourbon Vanilla & Tangerine Hair Texturizer","19119, 24607","No. 3 Organic Extra Virgin Olive Oil, Artichoke & Parmesan Dip",0.2012,0.9071,4.5084,"{14410, 36354}","{19119, 24607}"
"40903, 6049","2nd Foods Organic Fruit & Grain Apple Mango with Rice & Vanilla Baby Food, Wild Berry Organic Sparkling Energy Drink","16469, 46401","Broccoli Cheddar Quiche, EAS Complete Chocolate Protein Powder",0.0143,0.9008,62.993,"{40903, 6049}","{16469, 46401}"
25625,Nonfat Yogurt,"22075, 25931","Silicone Baby 3-12 Months Toothbrush, Organic Baby Spinach Salad",0.314,0.5821,1.8538,{25625},"{22075, 25931}"
45761,Turkey Breast Thin Sliced Honey Roasted Deli Select,36923,Trop50 No Pulp Orange Juice,0.0922,0.5875,6.372,{45761},{36923}
15532,Classic Honey Peanut Butter Squeeze,"28886, 4581","Organic Orange, McCormick Minced Onion",0.2852,0.9377,3.2879,{15532},"{28886, 4581}"
"27083, 452","Organic Coconut Aloe Water, Sleepytime Sinus Soother Herbal Tea","36354, 38202","Bourbon Vanilla & Tangerine Hair Texturizer, Original Lip Balm",0.3745,0.4311,1.1511,"{27083, 452}","{36354, 38202}"
"18087, 21639","Dandruff Shampoo Dry Scalp Care with Almond Oil, Cool Mint Wintergreen Toothpaste",10133,Rockin Refuel Chocolate Protein Milk Beverage,0.4516,0.4105,0.909,"{18087, 21639}",{10133}
48129,NUT-rition Men's Health Recommended Mix,12536,Colby & Monterey Jack Cheese Sticks 12 Count,0.3821,0.8363,2.1887,{48129},{12536}
44518,Large Drawstring Trash Bags,"43145, 7235","Pinto Beans with Jalapeno Peppers, Stevia Plus Powder",0.0496,0.8154,16.4395,{44518},"{43145, 7235}"
"1097, 18281, 24821","Sonoma County Sauvignon Blanc, Popped Dark Chocolate with Sea Salt Granola Bar, Wild Rose Deodorant Spray",6255,Multi-Grain Cheerios Dark Chocolate Crunch Cereal,0.1092,0.7948,7.2784,"{1097, 18281, 24821}",{6255}
"27784, 33781, 33995","Lemonade With Tea, Pasta Sauce, Five Cheese Garlic Bread","1732, 4339","Organic Peach Pear Blueberry Apple Avocado, Pure Camomile Herbal Tea Bags",0.0842,0.7452,8.8504,"{27784, 33781, 33995}","{1732, 4339}"
"22075, 23404","Silicone Baby 3-12 Months Toothbrush, With Rice Gumbo Mix",24899,Spinach & Ricotta Tortelloni,0.2898,0.7186,2.4796,"{22075, 23404}",{24899}
"24620, 27163","Gourmet Mexican Salsa New Mexico Red Chile, Spicy Nacho Tortilla Chips",45761,Turkey Breast Thin Sliced Honey Roasted Deli Select,0.1742,0.8895,5.1062,"{24620, 27163}",{45761}
41999,Cut Tulips (Choose Color),46506,Taco Seasoned Beef & Cheese Extra Crunchy Taquitos,0.4892,0.5322,1.0879,{41999},{46506}
34135,Home Style Mexican-Style Chicken Tortilla Soup,43281,Organic Lemon Perfume Oil,0.3478,0.7516,2.161,{34135},{43281}
26130,Creamy Gorg Blue-Veined Cheese Soft,18694,Mandarin and Seville Orange Jigger,0.4956,0.7216,1.456,{26130},{18694}
26599,Jasmine Green,43337,Pomegranate with Blueberry 100% Juice,0.2984,0.5577,1.869,{26599},{43337}
"1077, 31506, 4452","Security Super Plus Unscented Tampons, Extra Virgin Olive Oil, Fearless Uncured Beef Franks",2393,Avocado & Olive Oil Super Potion Anti Frizz Binding Serum,0.2785,0.9309,3.3425,"{1077, 31506, 4452}",{2393}
"27929, 32566, 37549","Wonder Mop Refill, Dha Omega 3 Vitamin D Milk, Chocolate Cake Mix","2668, 3188","Whips! Strawberry Mist Yogurt Mousse, Chayote",0.26,0.6102,2.3469,"{27929, 32566, 37549}","{2668, 3188}"
